ticket_id,arrival_time,closed_time,total_time,dev_review_cycles,test_cycles,wait_dev_review,wait_testing
53,357.74184253720466,373.54262333610274,15.800780798898074,1,1,9.814029842674188,0.0
54,359.61170020152485,392.5421958278768,32.930495626351956,1,1,8.260758819997704,0.0
55,362.32414225515606,382.3674123988144,20.043270143658333,1,1,8.551305568045109,0.0
56,362.34677901311323,401.2905274776748,38.943748464561565,1,1,11.659979323414973,0.0
57,365.1197014302965,390.50491958660996,25.385218156313442,1,1,11.977578979349914,0.0
58,366.09508755041014,395.8793964310402,29.78430888063008,1,1,19.46124692917624,1.126885079567785
59,367.6488353105579,418.3496670596521,50.70083174909422,2,1,26.892149722724355,3.55713715829728
60,373.159142613912,438.0125385651572,64.85339595124515,3,2,21.761656258873245,2.9787166136439964
61,381.1511487369047,427.56058913866434,46.40944040175964,2,2,12.230861013312335,0.0
62,384.9258030352991,409.01740153615856,24.091598500859448,1,1,13.137990274753463,0.0
63,398.2176978530646,419.68204181065124,21.464343957586664,1,1,4.312691916245967,0.0
64,406.8580157619466,426.5286663904472,19.670650628500596,1,1,0.0,0.0
65,414.8675662298015,421.8606847564233,6.9931185266217994,1,1,0.0,0.0
66,419.10835416689275,442.1579060180651,23.04955185117234,1,1,2.8297866925065023,1.0354607503988973
67,419.54173550701057,434.3702669126655,14.828531405654928,1,1,4.49663686810203,0.0
