ticket_id,arrival_time,closed_time,total_time,dev_review_cycles,test_cycles,wait_dev_review,wait_testing
418,2724.441860040388,2745.8934933430155,21.45163330262767,2,1,2.8962994391426946,1.5565747764981097
419,2729.1823484492643,2747.465151928996,18.282803479731683,1,1,0.0,2.577354707507766
420,2740.7672833504535,2750.9118653014393,10.144581950985867,1,1,0.0,0.0
421,2745.682664934461,2772.2954642919835,26.612799357522363,1,1,0.0,0.0
422,2747.490367273322,2762.366106558253,14.87573928493066,1,1,0.0,0.0
423,2747.62477231502,2760.4004097171683,12.775637402148277,2,1,0.159471064162517,0.0
424,2749.662447966405,2772.2043141521335,22.541866185728395,2,2,2.6729987923868066,0.0
425,2760.105513485746,2780.0329446291335,19.927431143387366,1,1,1.7066668222696535,0.0
426,2760.687077973562,2786.560444785574,25.873366812012137,1,1,7.345860035073656,0.0
427,2763.675242320574,2777.7456406696833,14.070398349109382,1,1,4.46375622088226,2.3855177195600845
428,2768.6287462330824,2787.135104659404,18.50635842632164,1,1,1.1900501994909973,2.75568172220801
429,2776.828343398587,2793.615588119081,16.787244720494073,1,1,0.0,0.0
430,2782.8060316343385,2824.6459720554144,41.83994042107588,1,1,0.0,0.0
431,2791.60025424087,2799.3822351216713,7.781980880801257,1,1,0.0,0.0
432,2797.995473986309,2809.258891739696,11.263417753386875,1,1,0.0,0.0
433,2802.1520789651913,2814.49630921107,12.344230245878862,1,1,0.0,0.0
434,2808.7065479000516,2811.1281324413744,2.4215845413227726,1,1,0.0,0.0
435,2811.0858452088155,2833.8432806257815,22.75743541696602,2,1,0.0,2.7087496866565743
436,2818.7729290338166,2831.515153552357,12.742224518540297,1,1,0.0,0.0
437,2821.227876407272,2831.683731447538,10.45585504026576,2,1,0.0,0.0
438,2824.94982239719,2853.6315600058547,28.681737608664662,1,1,1.7518039149604192,0.0
439,2832.9108797301037,2845.3285147675015,12.417635037397758,1,1,0.0,0.0
440,2834.569132394454,2913.2421839768635,78.6730515824097,5,1,21.895996874419325,1.5666127887302537
441,2846.8417354157555,2897.8145752000773,50.97283978432188,3,2,9.226116152032318,0.0
442,2848.7469746967463,2863.4060900258273,14.659115329081033,1,1,1.53511914096498,0.0
443,2850.829409374356,2859.3154261802115,8.486016805855343,1,1,6.41992021700753,0.0
444,2853.2226083381106,2874.149173081355,20.9265647432444,1,1,5.844888860730407,0.0
445,2857.919544338703,2874.1592021375754,16.239657798872486,1,1,2.78987210839432,0.0
