ticket_id,arrival_time,closed_time,time_in_system,is_closed,dev_cycles,review_cycles,test_cycles,wait_dev,wait_review,wait_testing,total_wait,service_time_dev,service_time_review,service_time_testing,service_starts_dev,service_starts_review,service_starts_testing,service_completions_dev,service_completions_review,service_completions_testing,markov_time_dev,markov_time_rev,markov_time_test,markov_time_off,markov_stint_counts
28,197.75754099738387,210.16468829310378,12.40714729571991,True,1,1,1,0.0,0.0,0.0,0.0,10.574940739005012,1.832157917516448,4.8639198468334005e-05,1,1,1,1,1,1,,,,,
29,205.08189436765736,206.58194251179276,1.5000481441354054,True,1,1,1,0.0,0.0,0.0,0.0,0.019364653769320877,1.4806809618625354,2.528503561011254e-06,1,1,1,1,1,1,,,,,
30,212.40624773793084,289.03388698924283,76.62763925131199,True,1,1,1,0.0,0.0,0.0,0.0,2.217735898820368,65.81045271161943,8.599450640872218,1,1,1,1,1,1,,,,,
31,219.73060110820433,,145.26939889179567,False,1,1,0,0.0,0.0,0,0.0,101.20246028686829,81.52175426298213,0,1,1,0,1,0,0,,,,,
32,227.0549544784778,228.37897304549855,1.3240185670207438,True,1,1,1,0.0,0.0,0.0,0.0,0.015215455982081577,1.063647228032762,0.24515588300590122,1,1,1,1,1,1,,,,,
33,234.3793078487513,243.43151332082502,9.052205472073723,True,1,1,1,0.0,0.0,0.0,0.0,0.9134275188193481,8.09478471808008,0.043993235174256774,1,1,1,1,1,1,,,,,
34,241.70366121902478,244.26944344177525,2.565782222750471,True,1,1,1,0.0,0.0,0.0,0.0,0.03141114955896859,2.4386722150250186,0.0956988581664848,1,1,1,1,1,1,,,,,
35,249.02801458929827,271.37924005906973,22.351225469771464,True,1,1,1,0.0,0.0,0.0,0.0,1.9896526248151094e-06,22.09236326082273,0.25886021929613506,1,1,1,1,1,1,,,,,
36,256.3523679595717,281.4097825822518,25.057414622680085,True,1,1,1,0.0,0.0,0.0,0.0,0.06966559168236892,24.98752803596826,0.00022099502947908726,1,1,1,1,1,1,,,,,
37,263.6767213298452,,101.32327867015482,False,1,1,0,0.0,0.0,0,0.0,0.21122680176924813,592.9603923118657,0,1,1,0,1,0,0,,,,,
38,271.00107470011864,,93.99892529988136,False,1,0,0,0.0,0,0,0.0,512.957240746197,0,0,1,0,0,0,0,0,,,,,
39,278.3254280703921,297.3576212967713,19.032193226379206,True,1,1,1,0.0,0.0,0.0,0.0,0.26543346772966436,17.86684948746633,0.8999102711832433,1,1,1,1,1,1,,,,,
40,285.64978144066555,305.51076478484043,19.860983344174883,True,1,1,1,0.0,0.0,0.0,0.0,0.008388601575133952,19.84546607439545,0.007128668204282503,1,1,1,1,1,1,,,,,
41,292.974134810939,318.4748699522316,25.50073514129258,True,1,1,1,0.0,0.0,0.0,0.0,2.727673443663853,22.751435144270037,0.021626553358740908,1,1,1,1,1,1,,,,,
42,300.29848818121246,305.20290765806027,4.904419476847806,True,1,1,1,0.0,0.0,0.0,0.0,0.0016044319789934823,4.9011149557962534,0.0017000890725638123,1,1,1,1,1,1,,,,,
43,307.6228415514859,,57.37715844851408,False,1,1,0,0.0,0.0,0,0.0,0.002182198070558001,621.5067660712589,0,1,1,0,1,0,0,,,,,
44,314.9471949217594,323.98451218181066,9.037317260051282,True,1,1,1,0.0,0.0,0.0,0.0,0.04400310381081525,8.958592941574382,0.0347212146660586,1,1,1,1,1,1,,,,,
45,322.27154829203283,,42.72845170796717,False,1,0,0,0.0,0,0,0.0,231.32742328949772,0,0,1,0,0,0,0,0,,,,,
46,329.5959016623063,,35.40409833769371,False,1,1,0,0.0,0.0,0,0.0,1.2683991688297656,697.7384759152964,0,1,1,0,1,0,0,,,,,
47,336.92025503257975,337.02145565329204,0.10120062071229086,True,1,1,1,0.0,0.0,0.0,0.0,0.000541185527143578,0.10004036313839962,0.0006190720467370409,1,1,1,1,1,1,,,,,
48,344.2446084028532,,20.755391597146797,False,1,1,0,0.0,0.0,0,0.0,0.7222202983789877,49.1729309908176,0,1,1,0,1,0,0,,,,,
49,351.56896177312666,,13.43103822687334,False,1,1,0,0.0,0.0,0,0.0,6.278919195015359,20.68861631751841,0,1,1,0,1,0,0,,,,,
50,358.8933151434001,359.7055345344944,0.8122193910942883,True,1,1,1,0.0,0.0,0.0,0.0,0.17045593942139864,0.6417634462803563,5.392486780909907e-09,1,1,1,1,1,1,,,,,
